"행정구역","2025년05월_계_총인구수","2025년05월_계_연령구간인구수","2025년05월_계_0~9세","2025년05월_계_10~19세","2025년05월_계_20~29세","2025년05월_계_30~39세","2025년05월_계_40~49세","2025년05월_계_50~59세","2025년05월_계_60~69세","2025년05월_계_70~79세","2025년05월_계_80~89세","2025년05월_계_90~99세","2025년05월_계_100세 이상"
"서울특별시 동작구 상도제2동(1159054000)","27,071","27,071","1,879","2,068","3,770","4,268","4,355","4,112","3,384","2,043","1,019","166","7"
"서울특별시 동작구 상도제3동(1159055000)","23,521","23,521","698","1,325","3,826","3,924","2,986","3,748","3,529","2,226","1,139","116","4"
"서울특별시 동작구 상도제4동(1159056000)","29,106","29,106","1,249","1,750","4,177","4,962","4,054","4,616","4,255","2,665","1,230","144","4"
"서울특별시 동작구 흑석동(1159060500)","29,967","29,967","2,108","2,271","4,281","4,096","4,532","4,950","3,956","2,297","1,244","228","4"
"서울특별시 동작구 사당제1동(1159062000)","22,289","22,289","514","787","4,874","4,994","2,729","2,717","2,880","1,948","765","77","4"
"서울특별시 동작구 사당제2동(1159063000)","27,911","27,911","1,505","1,736","3,374","4,376","4,005","4,509","4,034","2,859","1,321","185","7"
"서울특별시 동작구 사당제3동(1159064000)","23,350","23,350","1,543","1,527","2,752","3,663","3,471","3,467","3,444","2,374","990","119","0"
"서울특별시 동작구 사당제4동(1159065000)","13,673","13,673","488","645","2,220","2,398","1,772","2,005","2,045","1,394","632","72","2"
"서울특별시 동작구 사당제5동(1159065100)","14,058","14,058","790","900","1,862","2,606","2,055","2,106","1,926","1,226","501","82","4"
"서울특별시 동작구 대방동(1159066000)","34,053","34,053","1,361","3,400","5,556","4,922","5,107","5,587","4,032","2,630","1,241","211","6"
"서울특별시 동작구 신대방제1동(1159067000)","22,936","22,936","1,133","2,070","3,270","3,163","3,310","3,817","3,207","1,936","908","120","2"
"서울특별시 동작구 신대방제2동(1159068000)","22,034","22,034","1,277","1,719","3,585","3,940","3,172","3,269","2,474","1,624","854","114","6"
"서울특별시 관악구 (1162000000)","479,176","479,176","14,437","24,241","103,487","92,277","58,533","65,098","60,262","40,068","18,575","2,149","49"
"서울특별시 관악구 보라매동(1162052500)","23,210","23,210","731","1,240","4,098","4,172","2,948","3,225","3,353","2,235","1,060","145","3"
"서울특별시 관악구 청림동(1162054500)","14,424","14,424","956","999","1,549","2,365","2,128","2,284","2,036","1,295","703","105","4"
"서울특별시 관악구 성현동(1162056500)","29,501","29,501","1,621","2,643","3,581","3,921","4,442","5,017","4,069","2,732","1,331","141","3"
"서울특별시 관악구 행운동(1162057500)","28,689","28,689","747","1,222","7,220","6,349","3,280","3,359","3,176","2,237","991","105","3"
"서울특별시 관악구 낙성대동(1162058500)","17,495","17,495","463","774","5,756","4,190","1,739","1,692","1,378","933","513","56","1"
"서울특별시 관악구 청룡동(1162059500)","36,060","36,060","914","1,469","11,611","7,685","3,612","3,905","3,344","2,364","1,023","129","4"
"서울특별시 관악구 은천동(1162060500)","31,644","31,644","1,331","2,347","4,887","5,159","4,366","4,737","4,317","2,978","1,371","148","3"
"서울특별시 관악구 중앙동(1162061500)","15,204","15,204","277","534","4,470","3,351","1,563","1,598","1,620","1,135","591","65","0"
"서울특별시 관악구 인헌동(1162062500)","25,089","25,089","683","1,213","5,669","5,020","3,042","3,378","2,983","2,043","970","86","2"
"서울특별시 관악구 남현동(1162063000)","17,352","17,352","637","701","3,470","3,784","2,044","2,307","2,255","1,446","624","83","1"
"서울특별시 관악구 서원동(1162064500)","23,057","23,057","433","729","6,167","5,445","2,598","2,672","2,502","1,636","799","74","2"
"서울특별시 관악구 신원동(1162065500)","17,437","17,437","310","658","3,896","3,596","1,990","2,306","2,197","1,567","828","87","2"
"서울특별시 관악구 서림동(1162066500)","23,343","23,343","517","932","5,498","4,892","2,997","3,014","2,776","1,802","816","96","3"
"서울특별시 관악구 신사동(1162068500)","22,112","22,112","418","898","5,823","4,418","2,362","2,905","2,628","1,734","833","91","2"
"서울특별시 관악구 신림동(1162069500)","23,041","23,041","209","414","8,524","6,742","2,451","1,808","1,461","948","437","46","1"
"서울특별시 관악구 난향동(1162071500)","14,525","14,525","734","1,345","1,512","1,571","2,302","2,772","2,188","1,429","598","73","1"
"서울특별시 관악구 조원동(1162072500)","19,626","19,626","678","750","4,275","4,553","2,361","2,335","2,435","1,508","643","84","4"
"서울특별시 관악구 대학동(1162073500)","24,684","24,684","470","909","6,559","5,223","3,260","3,370","2,575","1,498","730","87","3"
"서울특별시 관악구 삼성동(1162074500)","19,459","19,459","530","1,078","1,861","2,159","2,283","3,529","3,897","2,680","1,258","182","2"
"서울특별시 관악구 미성동(1162076500)","28,683","28,683","1,076","1,935","3,942","4,129","3,758","4,676","4,724","3,081","1,236","123","3"
"서울특별시 관악구 난곡동(1162077500)","24,541","24,541","702","1,451","3,119","3,553","3,007","4,209","4,348","2,787","1,220","143","2"
"서울특별시 서초구 (1165000000)","407,516","407,516","26,075","44,768","48,267","56,836","70,296","66,809","48,030","31,288","13,055","2,028","64"
"서울특별시 서초구 서초1동(1165051000)","20,212","20,212","1,006","1,800","2,664","3,265","3,405","3,307","2,408","1,596","647","109","5"
"서울특별시 서초구 서초2동(1165052000)","24,771","24,771","1,893","2,379","3,238","4,789","4,576","3,410","2,226","1,537","621","98","4"
"서울특별시 서초구 서초3동(1165053000)","31,956","31,956","1,379","2,618","5,062","5,426","4,673","5,201","3,826","2,482","1,108","171","10"
"서울특별시 서초구 서초4동(1165053100)","30,166","30,166","2,223","4,166","3,385","3,027","5,687","5,319","3,162","2,083","984","129","1"
"서울특별시 서초구 잠원동(1165054000)","26,653","26,653","1,716","3,309","3,152","3,328","4,699","4,926","3,044","1,660","681","133","5"
"서울특별시 서초구 반포본동(1165055000)","227","227","18","25","25","21","37","45","31","20","5","0","0"
"서울특별시 서초구 반포1동(1165056000)","33,583","33,583","2,720","4,203","3,735","4,761","7,151","4,939","3,068","2,082","792","127","5"
"서울특별시 서초구 반포2동(1165057000)","26,654","26,654","2,527","4,201","2,542","2,511","5,231","4,479","2,509","1,782","778","90","4"
"서울특별시 서초구 반포3동(1165058000)","23,950","23,950","1,773","3,244","2,635","2,590","4,206","4,585","2,495","1,592","726","101","3"
"서울특별시 서초구 반포4동(1165058100)","18,447","18,447","1,405","2,095","1,925","2,281","3,259","3,069","2,244","1,485","567","115","2"
"서울특별시 서초구 방배본동(1165059000)","19,963","19,963","1,062","2,596","2,376","2,215","3,388","3,530","2,455","1,454","755","127","5"
"서울특별시 서초구 방배1동(1165060000)","16,397","16,397","857","1,307","2,067","2,648","2,622","2,526","2,076","1,517","678","98","1"
"서울특별시 서초구 방배2동(1165061000)","17,622","17,622","825","1,469","2,168","2,616","2,546","2,812","2,620","1,747","712","103","4"
"서울특별시 서초구 방배3동(1165062000)","15,667","15,667","995","1,675","1,712","1,831","2,484","2,592","2,269","1,470","544","93","2"
"서울특별시 서초구 방배4동(1165062100)","22,674","22,674","1,149","2,595","2,717","3,177","3,894","3,844","2,559","1,732","876","130","1"
"서울특별시 서초구 양재1동(1165065100)","40,910","40,910","2,414","4,065","4,424","5,991","6,390","6,470","5,817","3,743","1,344","247","5"
"서울특별시 서초구 양재2동(1165065200)","20,927","20,927","884","1,370","2,982","4,162","3,218","3,339","2,756","1,576","581","55","4"
"서울특별시 서초구 내곡동(1165066000)","16,737","16,737","1,229","1,651","1,458","2,197","2,830","2,416","2,465","1,730","656","102","3"
"서울특별시 강남구 (1168000000)","556,506","556,506","32,612","63,553","64,834","81,193","100,316","88,258","63,606","42,741","16,691","2,618","84"
"서울특별시 강남구 신사동(1168051000)","15,212","15,212","815","1,449","1,800","1,972","2,389","2,643","1,773","1,443","786","138","4"
"서울특별시 강남구 논현1동(1168052100)","20,713","20,713","513","823","3,478","5,248","3,576","2,792","2,090","1,438","649","100","6"
"서울특별시 강남구 논현2동(1168053100)","20,083","20,083","785","1,195","2,870","4,090","3,545","3,108","2,146","1,531","706","102","5"
"서울특별시 강남구 압구정동(1168054500)","25,544","25,544","1,726","2,684","2,653","2,832","4,142","4,281","3,189","2,539","1,293","199","6"
"서울특별시 강남구 청담동(1168056500)","23,945","23,945","1,523","2,180","2,909","3,455","4,303","3,884","2,978","1,820","770","118","5"
"서울특별시 강남구 삼성1동(1168058000)","12,641","12,641","647","1,136","1,507","1,789","1,945","2,094","1,759","1,214","492","58","0"
"서울특별시 강남구 삼성2동(1168059000)","30,258","30,258","1,761","3,449","3,756","4,631","5,829","5,220","2,650","1,928","919","110","5"
"서울특별시 강남구 대치1동(1168060000)","23,840","23,840","1,516","5,390","2,160","1,261","5,318","4,196","2,103","1,371","448","76","1"
"서울특별시 강남구 대치2동(1168061000)","38,075","38,075","2,191","6,888","3,615","3,249","7,538","6,539","4,270","2,844","809","127","5"
"서울특별시 강남구 대치4동(1168063000)","18,095","18,095","513","2,023","2,776","3,110","3,202","3,335","1,603","1,003","471","58","1"
"서울특별시 강남구 역삼1동(1168064000)","34,213","34,213","772","1,239","6,306","9,755","6,120","4,397","3,001","1,740","778","103","2"
"서울특별시 강남구 역삼2동(1168065000)","36,121","36,121","1,915","5,814","4,331","4,436","8,009","6,249","2,534","1,927","814","92","0"
"서울특별시 강남구 도곡1동(1168065500)","20,601","20,601","1,376","2,472","2,340","2,760","3,721","3,257","2,517","1,527","550","80","1"
"서울특별시 강남구 도곡2동(1168065600)","32,244","32,244","2,316","4,625","3,335","3,020","5,930","5,529","3,600","2,615","1,092","178","4"
"서울특별시 강남구 개포1동(1168066000)","26,683","26,683","2,382","3,522","2,371","3,120","5,059","4,141","3,388","2,035","579","81","5"
"서울특별시 강남구 개포2동(1168067000)","42,249","42,249","3,596","5,274","4,336","6,190","7,634","6,747","4,778","2,838","739","115","2"
"서울특별시 강남구 개포3동(1168067500)","16,597","16,597","989","1,656","1,481","2,429","2,905","2,293","2,263","1,868","611","96","6"
"서울특별시 강남구 개포4동(1168069000)","23,041","23,041","1,442","2,104","2,682","3,556","3,739","3,899","3,200","1,738","584","95","2"
"서울특별시 강남구 세곡동(1168070000)","46,151","46,151","3,239","5,023","5,301","7,680","7,789","6,381","5,465","3,428","1,540","295","10"
"서울특별시 강남구 일원본동(1168072000)","22,435","22,435","1,602","3,237","2,076","2,538","4,250","3,519","2,907","1,684","483","135","4"
"서울특별시 강남구 일원1동(1168073000)","14,202","14,202","523","905","1,775","2,204","1,901","2,022","2,426","1,693","650","100","3"
"서울특별시 강남구 수서동(1168075000)","13,563","13,563","470","465","976","1,868","1,472","1,732","2,966","2,517","928","162","7"
"서울특별시 송파구 (1171000000)","646,786","646,786","40,224","56,547","79,136","106,002","103,875","99,224","88,481","51,447","18,718","3,038","94"
"서울특별시 송파구 풍납1동(1171051000)","11,099","11,099","470","619","1,158","1,555","1,433","1,836","2,141","1,272","555","58","2"
"서울특별시 송파구 풍납2동(1171052000)","22,907","22,907","1,359","1,765","3,002","3,654","3,512","3,483","3,265","1,983","752","127","5"
"서울특별시 송파구 거여1동(1171053100)","11,704","11,704","416","757","1,427","1,613","1,469","2,132","2,051","1,243","524","72","0"
"서울특별시 송파구 거여2동(1171053200)","23,278","23,278","1,595","1,680","2,333","3,484","3,392","3,978","3,602","2,195","864","150","5"
"서울특별시 송파구 마천1동(1171054000)","15,312","15,312","535","1,116","1,596","1,705","1,845","2,839","2,958","1,787","831","98","2"
"서울특별시 송파구 마천2동(1171055000)","17,150","17,150","476","976","1,811","1,915","2,097","3,181","3,558","2,071","927","135","3"
"서울특별시 송파구 방이1동(1171056100)","14,926","14,926","828","1,426","1,909","2,154","2,330","2,461","2,140","1,167","429","78","4"
"서울특별시 송파구 방이2동(1171056200)","26,163","26,163","811","1,030","4,856","6,849","3,639","3,304","3,044","1,843","678","106","3"
"서울특별시 송파구 오륜동(1171056600)","17,477","17,477","1,179","2,386","1,719","1,669","2,987","2,794","2,584","1,643","418","97","1"
"서울특별시 송파구 오금동(1171057000)","37,848","37,848","2,095","3,031","4,415","5,317","5,273","6,544","6,278","3,401","1,214","276","4"
"서울특별시 송파구 송파1동(1171058000)","22,964","22,964","823","1,076","3,748","5,562","3,164","3,054","3,004","1,776","653","103","1"
"서울특별시 송파구 송파2동(1171059000)","19,094","19,094","1,224","1,835","2,213","2,849","3,086","2,924","2,851","1,523","500","88","1"
"서울특별시 송파구 석촌동(1171060000)","30,194","30,194","1,029","1,481","4,682","6,991","4,391","4,279","4,001","2,344","887","107","2"
"서울특별시 송파구 삼전동(1171061000)","28,470","28,470","918","1,647","4,399","6,458","4,391","4,087","3,627","2,067","769","100","7"
"서울특별시 송파구 가락본동(1171062000)","24,570","24,570","1,236","1,501","3,259","4,495","3,400","4,011","3,962","1,880","704","116","6"
"서울특별시 송파구 가락1동(1171063100)","26,974","26,974","2,836","2,911","2,224","4,304","5,107","3,489","3,514","2,026","502","58","3"
"서울특별시 송파구 가락2동(1171063200)","30,506","30,506","1,876","3,073","3,777","4,553","4,867","4,996","4,306","2,153","767","134","4"
"서울특별시 송파구 문정1동(1171064100)","19,609","19,609","973","1,303","2,852","3,582","2,636","2,970","3,061","1,611","526","93","2"
"서울특별시 송파구 문정2동(1171064200)","28,609","28,609","1,307","1,461","4,310","7,413","4,515","3,429","3,090","2,114","809","155","6"
"서울특별시 송파구 장지동(1171064600)","30,807","30,807","2,145","2,472","3,527","5,266","4,623","4,848","4,454","2,442","871","154","5"
"서울특별시 송파구 위례동(1171064700)","44,804","44,804","5,820","6,444","4,058","6,435","9,401","6,197","3,948","1,795","587","116","3"
"서울특별시 송파구 잠실본동(1171065000)","27,450","27,450","855","1,403","4,731","6,437","4,039","3,864","3,408","1,922","698","89","4"
"서울특별시 송파구 잠실2동(1171067000)","34,605","34,605","3,164","5,711","3,352","3,092","7,873","5,771","2,889","1,939","729","84","1"
"서울특별시 송파구 잠실3동(1171068000)","33,650","33,650","2,417","4,167","3,281","3,405","6,016","5,528","4,505","3,175","995","158","3"
"서울특별시 송파구 잠실4동(1171069000)","20,987","20,987","2,091","2,715","1,843","2,331","4,319","3,167","2,413","1,517","515","72","4"
"서울특별시 송파구 잠실6동(1171071000)","16,286","16,286","1,220","1,702","1,622","1,949","2,815","2,502","2,374","1,449","538","108","7"
"서울특별시 송파구 잠실7동(1171072000)","9,343","9,343","526","859","1,032","965","1,255","1,556","1,453","1,109","476","106","6"
"서울특별시 강동구 (1174000000)","497,190","497,190","32,598","43,030","57,127","76,668","80,755","75,253","72,427","42,073","14,859","2,330","70"
"서울특별시 강동구 강일동(1174051500)","34,323","34,323","3,045","3,662","3,369","4,313","5,589","5,109","5,013","2,928","1,078","213","4"
"서울특별시 강동구 상일제1동(1174052500)","39,012","39,012","4,118","5,145","3,101","4,864","8,032","5,485","4,946","2,544","663","109","5"
"서울특별시 강동구 상일제2동(1174052600)","13,432","13,432","1,224","1,641","1,618","1,827","2,126","2,048","1,428","993","440","83","4"
"서울특별시 강동구 명일제1동(1174053000)","24,682","24,682","1,875","2,241","2,493","3,530","4,105","3,792","3,597","2,229","693","123","4"
"서울특별시 강동구 명일제2동(1174054000)","16,817","16,817","884","2,392","1,945","1,756","2,937","2,624","2,372","1,449","370","85","3"
"서울특별시 강동구 고덕제1동(1174055000)","23,670","23,670","1,877","4,126","1,842","2,228","5,249","3,459","2,811","1,469","477","130","2"
"서울특별시 강동구 고덕제2동(1174056000)","25,595","25,595","2,581","2,916","2,273","3,839","5,038","3,604","3,033","1,690","528","91","2"
"서울특별시 강동구 암사제1동(1174057000)","32,932","32,932","1,476","2,278","3,879","4,789","4,833","5,609","5,391","3,214","1,267","193","3"
"서울특별시 강동구 암사제2동(1174058000)","14,484","14,484","1,011","927","1,645","2,648","2,162","2,213","2,048","1,230","526","73","1"
"서울특별시 강동구 암사제3동(1174059000)","16,963","16,963","1,374","1,962","1,640","2,040","2,996","2,614","2,296","1,451","510","71","9"
"서울특별시 강동구 천호제1동(1174060000)","25,310","25,310","928","1,414","2,990","3,836","3,474","4,161","4,544","2,793","1,039","130","1"
"서울특별시 강동구 천호제2동(1174061000)","34,802","34,802","1,445","1,697","4,684","6,691","4,945","5,381","5,382","3,137","1,289","146","5"
"서울특별시 강동구 천호제3동(1174062000)","26,222","26,222","982","1,048","4,249","5,321","3,464","3,735","4,032","2,308","940","139","4"
"서울특별시 강동구 성내제1동(1174064000)","19,011","19,011","1,125","1,519","2,339","3,015","3,056","2,920","2,697","1,682","571","85","2"
"서울특별시 강동구 성내제2동(1174065000)","23,924","23,924","799","1,028","3,847","4,722","3,141","3,390","3,699","2,266","913","117","2"
"서울특별시 강동구 성내제3동(1174066000)","21,593","21,593","844","1,384","2,960","3,268","3,135","3,616","3,448","2,038","809","89","2"
"서울특별시 강동구 길동(1174068500)","48,072","48,072","2,156","2,762","6,610","8,321","6,756","7,482","7,699","4,445","1,585","245","11"
"서울특별시 강동구 둔촌제1동(1174069000)","31,205","31,205","3,342","3,018","2,685","5,611","6,047","4,067","4,024","1,984","353","70","4"
"서울특별시 강동구 둔촌제2동(1174070000)","25,141","25,141","1,512","1,870","2,958","4,049","3,670","3,944","3,967","2,223","808","138","2"
"부산광역시  (2600000000)","3,254,457","3,254,457","176,120","263,778","349,590","388,163","465,232","534,375","555,890","349,420","151,559","19,893","437"
"부산광역시 중구 (2611000000)","37,080","37,080","667","1,567","4,929","4,109","3,965","6,082","7,365","5,450","2,584","351","11"
"부산광역시 중구 중앙동(2611051000)","3,090","3,090","33","48","887","787","318","337","340","231","92","17","0"
"부산광역시 중구 동광동(2611052000)","2,310","2,310","48","75","182","188","236","371","537","419","227","25","2"
"부산광역시 중구 대청동(2611053000)","5,597","5,597","98","255","758","566","630","929","1,124","791","384","61","1"
"부산광역시 중구 보수동(2611054500)","9,906","9,906","203","457","1,428","1,062","1,027","1,615","1,954","1,403","657","96","4"
"부산광역시 중구 부평동(2611056000)","4,036","4,036","49","170","382","356","453","693","889","687","319","38","0"
"부산광역시 중구 광복동(2611057000)","857","857","21","30","61","63","98","151","212","145","63","12","1"
"부산광역시 중구 남포동(2611058000)","788","788","4","20","33","54","57","165","249","145","53","8","0"
"부산광역시 중구 영주제1동(2611059000)","4,255","4,255","89","177","679","560","502","706","703","553","251","33","2"
"부산광역시 중구 영주제2동(2611060000)","6,241","6,241","122","335","519","473","644","1,115","1,357","1,076","538","61","1"
"부산광역시 서구 (2614000000)","102,681","102,681","4,301","7,050","10,972","10,234","12,917","16,789","19,211","13,617","6,666","899","25"
"부산광역시 서구 동대신제1동(2614051000)","5,119","5,119","292","318","509","562","674","831","879","661","336","56","1"
"부산광역시 서구 동대신제2동(2614052000)","6,341","6,341","145","383","552","437","679","1,150","1,266","1,091","549","85","4"
"부산광역시 서구 동대신제3동(2614053000)","6,919","6,919","248","471","979","672","822","1,101","1,231","860","471","62","2"
"부산광역시 서구 서대신제1동(2614054000)","14,605","14,605","1,014","1,259","1,545","1,776","2,344","2,219","2,106","1,454","781","104","3"
"부산광역시 서구 서대신제3동(2614056000)","7,247","7,247","350","748","696","671","1,043","1,269","1,219","796","394","59","2"
"부산광역시 서구 서대신제4동(2614057000)","6,942","6,942","354","783","658","599","1,018","1,174","1,215","740","346","51","4"
"부산광역시 서구 부민동(2614059000)","7,275","7,275","273","618","1,377","830","872","1,047","1,119","738","343","56","2"
"부산광역시 서구 아미동(2614061500)","6,235","6,235","91","176","719","687","510","960","1,306","1,119","583","82","2"
"부산광역시 서구 초장동(2614063000)","3,627","3,627","47","123","257","238","364","600","829","713","409","47","0"
"부산광역시 서구 충무동(2614064000)","9,405","9,405","332","494","1,101","1,026","1,080","1,583","1,835","1,293","599","61","1"
"부산광역시 서구 남부민제1동(2614065000)","4,264","4,264","70","137","309","314","427","710","1,033","809","407","47","1"
"부산광역시 서구 남부민제2동(2614066000)","7,513","7,513","142","336","516","538","763","1,292","1,732","1,437","676","79","2"
"부산광역시 서구 암남동(2614068000)","17,189","17,189","943","1,204","1,754","1,884","2,321","2,853","3,441","1,906","772","110","1"
"부산광역시 동구 (2617000000)","84,897","84,897","3,633","4,496","8,447","10,764","10,732","13,647","15,364","11,288","5,751","758","17"
"부산광역시 동구 초량제1동(2617051000)","4,873","4,873","95","249","704","619","581","810","845","641","300","29","0"
"부산광역시 동구 초량제2동(2617052000)","5,030","5,030","79","208","453","418","546","876","1,075","878","444","52","1"
"부산광역시 동구 초량제3동(2617053000)","12,538","12,538","1,033","874","1,667","2,311","2,091","1,787","1,522","828","361","62","2"
"부산광역시 동구 초량제6동(2617055000)","5,070","5,070","79","291","376","378","546","857","1,068","903","488","82","2"
"부산광역시 동구 수정제1동(2617056000)","3,897","3,897","125","273","416","374","498","662","651","577","278","43","0"
"부산광역시 동구 수정제2동(2617057000)","8,847","8,847","308","444","769","1,018","1,007","1,456","1,739","1,379","640","85","2"
"부산광역시 동구 수정제4동(2617059000)","3,303","3,303","53","123","232","216","283","575","696","663","417","44","1"
"부산광역시 동구 수정제5동(2617060000)","4,545","4,545","62","234","355","290","460","762","992","859","465","65","1"
"부산광역시 동구 좌천동(2617064500)","10,872","10,872","397","544","1,016","1,243","1,320","1,777","2,100","1,535","830","108","2"
"부산광역시 동구 범일제1동(2617065000)","10,399","10,399","227","423","874","1,018","1,076","1,714","2,376","1,672","915","101","3"
"부산광역시 동구 범일제2동(2617066000)","6,571","6,571","236","310","790","960","854","1,131","1,209","715","323","43","0"
"부산광역시 동구 범일제5동(2617068000)","8,952","8,952","939","523","795","1,919","1,470","1,240","1,091","638","290","44","3"
"부산광역시 영도구 (2620000000)","102,719","102,719","3,768","6,423","8,882","9,007","12,450","17,171","20,975","15,651","7,473","904","15"
"부산광역시 영도구 남항동(2620053000)","9,908","9,908","255","457","812","866","1,105","1,695","2,132","1,657","822","107","0"
"부산광역시 영도구 영선제1동(2620054000)","3,576","3,576","113","206","301","236","400","584","809","608","282","37","0"
"부산광역시 영도구 영선제2동(2620055000)","7,133","7,133","213","449","555","593","774","1,161","1,512","1,207","611","58","0"
"부산광역시 영도구 신선동(2620058500)","6,686","6,686","92","280","429","410","646","1,166","1,517","1,292","760","94","0"
"부산광역시 영도구 봉래제1동(2620059000)","6,302","6,302","222","328","559","642","732","958","1,321","1,016","452","71","1"
"부산광역시 영도구 봉래제2동(2620060500)","7,090","7,090","422","480","508","705","983","1,185","1,249","964","544","50","0"
"부산광역시 영도구 청학제1동(2620063000)","5,193","5,193","196","344","362","426","665","873","1,049","808","419","50","1"
"부산광역시 영도구 청학제2동(2620064000)","15,938","15,938","610","1,151","1,325","1,419","2,027","2,744","3,181","2,319","1,035","122","5"
"부산광역시 영도구 동삼제1동(2620065000)","27,472","27,472","1,175","1,996","2,754","2,603","3,534","4,697","5,365","3,593","1,546","202","7"
"부산광역시 영도구 동삼제2동(2620066000)","4,991","4,991","327","366","728","529","736","739","760","550","225","31","0"
"부산광역시 영도구 동삼제3동(2620067000)","8,430","8,430","143","366","549","578","848","1,369","2,080","1,637","777","82","1"
"부산광역시 부산진구 (2623000000)","364,540","364,540","18,762","24,288","47,886","53,272","49,216","56,354","58,959","36,949","16,736","2,078","40"
"부산광역시 부산진구 부전제1동(2623051000)","14,082","14,082","453","427","3,527","2,773","1,496","1,804","1,960","1,106","482","53","1"
"부산광역시 부산진구 부전제2동(2623052000)","12,225","12,225","663","540","2,778","2,605","1,641","1,601","1,425","683","250","37","2"
"부산광역시 부산진구 연지동(2623054000)","25,501","25,501","1,911","2,213","2,140","3,078","3,954","4,062","4,115","2,667","1,194","161","6"
"부산광역시 부산진구 초읍동(2623055000)","21,652","21,652","1,108","1,478","1,698","2,345","2,868","3,580","3,934","3,006","1,456","178","1"
"부산광역시 부산진구 양정제1동(2623056000)","18,583","18,583","700","1,180","2,357","2,472","2,264","3,244","3,220","1,999","1,007","138","2"
"부산광역시 부산진구 양정제2동(2623057000)","19,948","19,948","1,589","1,104","3,417","4,515","2,976","2,443","1,948","1,294","589","70","3"
"부산광역시 부산진구 전포제1동(2623060000)","20,359","20,359","1,041","1,149","4,250","4,305","2,789","2,549","2,126","1,349","703","97","1"
"부산광역시 부산진구 전포제2동(2623061000)","22,993","22,993","1,017","1,250","3,281","3,715","2,992","3,267","3,569","2,511","1,244","146","1"
"부산광역시 부산진구 부암제1동(2623064000)","22,990","22,990","1,469","1,822","2,447","3,325","3,487","3,663","3,541","2,165","938","128","5"
"부산광역시 부산진구 부암제3동(2623066000)","22,799","22,799","1,591","2,154","2,126","3,037","3,477","3,864","3,692","1,905","855","96","2"
"부산광역시 부산진구 당감제1동(2623067000)","20,452","20,452","631","1,477","2,038","1,902","2,447","3,818","4,203","2,571","1,192","168","5"
"부산광역시 부산진구 당감제2동(2623068000)","11,652","11,652","820","831","1,164","1,890","1,728","1,637","1,830","1,192","513","47","0"
"부산광역시 부산진구 당감제4동(2623070000)","9,887","9,887","351","713","861","965","1,273","1,903","1,989","1,206","563","59","4"
"부산광역시 부산진구 가야제1동(2623071000)","16,091","16,091","421","1,039","2,378","1,661","1,988","2,592","3,056","2,021","860","74","1"
"부산광역시 부산진구 가야제2동(2623072000)","17,808","17,808","989","1,404","1,857","1,996","2,381","2,830","3,177","2,177","897","100","0"
"부산광역시 부산진구 개금제1동(2623074000)","18,228","18,228","1,004","1,261","3,220","2,793","2,602","2,673","2,443","1,504","659","68","1"
"부산광역시 부산진구 개금제2동(2623075000)","9,725","9,725","344","682","1,190","927","1,101","1,682","1,898","1,244","590","66","1"
"부산광역시 부산진구 개금제3동(2623076000)","25,841","25,841","1,089","2,050","2,509","2,705","3,302","4,533","5,375","2,899","1,193","184","2"
"부산광역시 부산진구 범천제1동(2623077000)","12,158","12,158","376","462","2,413","2,499","1,519","1,643","1,648","1,011","526","60","1"
"부산광역시 부산진구 범천제2동(2623078000)","21,566","21,566","1,195","1,052","2,235","3,764","2,931","2,966","3,810","2,439","1,025","148","1"
"부산광역시 동래구 (2626000000)","274,663","274,663","17,738","26,156","26,697","32,613","42,803","44,852","42,885","27,848","11,532","1,512","27"
"부산광역시 동래구 수민동(2626051000)","30,319","30,319","1,815","2,650","2,795","3,733","4,418","4,896","5,039","3,367","1,414","188","4"
"부산광역시 동래구 복산동(2626052000)","8,064","8,064","182","474","632","664","860","1,385","1,753","1,341","670","102","1"
"부산광역시 동래구 명륜동(2626054500)","25,909","25,909","2,167","3,604","2,270","2,722","5,001","4,448","2,991","1,796","804","106","0"
"부산광역시 동래구 온천제1동(2626055000)","33,113","33,113","2,626","2,313","4,197","5,859","5,340","5,039","4,023","2,401","1,154","157","4"
"부산광역시 동래구 온천제2동(2626056000)","23,839","23,839","2,421","2,471","1,906","3,024","4,116","3,411","3,193","2,142","984","169","2"
"부산광역시 동래구 온천제3동(2626057000)","35,613","35,613","1,780","2,506","4,344","4,610","4,803","6,003","6,036","3,855","1,501","173","2"
"부산광역시 동래구 사직제1동(2626058000)","11,674","11,674","825","1,255","1,065","1,402","1,939","1,843","1,593","1,120","570","61","1"
"부산광역시 동래구 사직제2동(2626059000)","24,422","24,422","1,791","3,718","2,371","2,103","4,490","4,487","3,101","1,676","600","82","3"
"부산광역시 동래구 사직제3동(2626060000)","16,602","16,602","1,056","2,027","1,417","1,601","3,044","2,537","2,378","1,720","739","80","3"
"부산광역시 동래구 안락제1동(2626074000)","13,046","13,046","487","827","1,156","1,315","1,585","2,153","2,739","1,899","782","103","0"
"부산광역시 동래구 안락제2동(2626075000)","25,618","25,618","1,356","2,434","2,338","2,727","3,718","4,414","4,564","2,889","1,044","132","2"
"부산광역시 동래구 명장제1동(2626076100)","13,102","13,102","676","1,015","1,033","1,404","1,855","2,072","2,531","1,779","647","87","3"
"부산광역시 동래구 명장제2동(2626076200)","13,342","13,342","556","862","1,173","1,449","1,634","2,164","2,944","1,863","623","72","2"
